BHK,Size,Bathroom,Rent,Current Floor,Total Floors,Area Type_Super Area,City_Delhi,City_Hyderabad,City_Kolkata,City_Mumbai,Furnishing Status_Semi-Furnished,Furnishing Status_Unfurnished,Tenant Preferred_Bachelors/Family,Tenant Preferred_Family
4,1249,3,31654,1.0,15.0,1,0,1,0,0,0,1,0,0
1,753,2,38145,6.0,9.0,0,0,1,0,0,0,1,1,0
2,1498,1,56529,4.0,7.0,0,0,1,0,0,0,1,0,0
4,2139,2,51378,3.0,2.0,0,0,1,0,0,1,0,1,0
1,1864,3,21665,2.0,2.0,0,0,1,0,0,0,1,0,0
4,1390,1,67475,4.0,19.0,0,0,1,0,0,0,1,1,0
1,1664,3,52802,3.0,7.0,0,0,1,0,0,0,1,0,0
2,2284,3,44752,5.0,7.0,1,0,1,0,0,0,1,0,0
3,2209,2,41362,0.0,19.0,1,0,1,0,0,0,0,0,0
1,2741,3,55990,5.0,16.0,1,0,0,0,0,1,0,1,0
4,2656,1,52126,2.0,15.0,0,0,1,0,0,0,1,0,1
2,1511,3,44338,6.0,3.0,0,0,0,0,1,0,1,1,0
1,1217,3,26114,0.0,10.0,1,0,0,0,0,0,1,0,0
4,2199,2,7120,5.0,17.0,1,0,0,1,0,0,1,1,0
4,2360,3,5785,0.0,14.0,1,1,0,0,0,0,1,0,0
4,2837,2,61925,7.0,18.0,1,0,0,0,0,0,0,0,0
1,2772,2,71473,8.0,5.0,1,0,1,0,0,0,0,0,1
1,1288,1,34969,7.0,7.0,0,0,0,0,0,1,0,0,0
1,2255,1,70236,6.0,4.0,0,1,0,0,0,1,0,0,0
3,1580,1,21297,1.0,5.0,0,1,0,0,0,0,1,0,0
1,1067,1,27816,2.0,14.0,0,0,1,0,0,0,1,0,1
1,1032,2,75070,8.0,6.0,0,0,1,0,0,0,0,1,0
1,2042,3,14529,0.0,19.0,1,0,0,0,1,1,0,0,1
3,536,1,27013,3.0,16.0,1,1,0,0,0,0,1,1,0
1,2346,1,35089,8.0,11.0,0,0,1,0,0,0,1,0,0
4,2097,1,11171,5.0,4.0,1,1,0,0,0,0,1,1,0
1,827,3,46229,0.0,8.0,0,0,0,0,1,1,0,1,0
4,1875,1,22874,1.0,11.0,0,0,0,1,0,0,0,1,0
4,1218,3,43809,7.0,6.0,1,1,0,0,0,0,0,1,0
4,2588,2,64465,4.0,14.0,0,0,0,0,1,0,1,0,0
3,1506,2,64024,9.0,8.0,0,0,0,0,1,0,1,0,1
3,2624,2,26153,6.0,8.0,0,0,0,0,1,0,1,1,0
3,597,3,33429,7.0,2.0,1,0,0,0,0,0,1,0,0
1,2395,1,62753,8.0,13.0,1,0,1,0,0,0,1,0,0
4,2848,1,11641,6.0,12.0,0,1,0,0,0,1,0,0,0
3,870,1,47401,5.0,17.0,0,0,0,0,0,0,0,0,0
3,2665,1,30367,1.0,13.0,1,1,0,0,0,1,0,1,0
1,2348,1,26726,0.0,19.0,1,0,0,0,0,1,0,0,1
3,1328,3,9677,4.0,1.0,1,0,1,0,0,0,1,0,0
1,2410,2,10139,3.0,13.0,1,0,0,0,1,1,0,0,1
2,1305,1,62766,7.0,6.0,0,1,0,0,0,0,0,0,1
3,2622,2,29696,0.0,12.0,0,0,0,0,1,0,1,0,1
2,422,3,56372,0.0,3.0,0,0,1,0,0,0,0,0,0
1,634,3,62414,9.0,8.0,1,1,0,0,0,1,0,0,0
4,1524,1,17832,7.0,3.0,1,0,0,1,0,0,1,0,0
3,1328,3,78741,6.0,19.0,0,0,0,1,0,0,0,0,1
1,922,2,10425,3.0,16.0,1,0,0,1,0,0,0,0,0
4,2208,1,8900,3.0,19.0,0,0,1,0,0,0,1,0,0
4,830,1,78998,4.0,5.0,1,0,0,1,0,0,0,0,1
2,1192,2,34134,3.0,4.0,0,1,0,0,0,0,1,0,0
1,2029,1,7817,1.0,13.0,0,0,0,1,0,0,1,1,0
4,2136,1,75486,5.0,2.0,0,1,0,0,0,1,0,1,0
3,932,2,40607,2.0,17.0,0,0,1,0,0,0,0,1,0
3,2146,1,78027,4.0,18.0,1,0,0,0,1,0,1,1,0
2,2075,1,78550,6.0,18.0,0,0,0,0,0,1,0,0,1
4,1716,2,12691,7.0,15.0,0,0,0,1,0,1,0,0,0
1,1312,3,70978,5.0,13.0,0,0,0,0,0,0,1,1,0
3,1524,2,27778,3.0,2.0,0,0,0,0,1,0,1,1,0
4,1925,1,62154,2.0,15.0,1,0,1,0,0,0,0,0,0
4,1727,2,53788,6.0,19.0,0,0,1,0,0,0,0,0,1
2,2987,1,14413,4.0,6.0,0,0,0,0,1,0,0,1,0
3,1423,1,48400,3.0,19.0,1,0,0,0,0,0,1,0,0
3,1976,2,34899,6.0,7.0,0,0,0,1,0,1,0,0,0
1,1778,1,50463,3.0,2.0,0,1,0,0,0,1,0,1,0
3,1919,3,5894,6.0,3.0,0,0,1,0,0,0,1,1,0
1,2081,1,40021,0.0,2.0,0,0,0,0,1,0,0,0,0
3,2397,2,51442,9.0,16.0,1,0,0,0,0,1,0,0,0
2,626,3,32791,8.0,15.0,1,0,0,1,0,1,0,1,0
3,1659,3,48520,7.0,15.0,1,0,0,0,0,0,0,1,0
1,1272,1,34899,5.0,14.0,1,0,0,1,0,1,0,1,0
1,1291,2,52802,5.0,14.0,1,1,0,0,0,0,0,1,0
2,1878,1,5371,0.0,18.0,1,1,0,0,0,1,0,0,1
3,1436,1,35193,3.0,19.0,0,0,0,0,1,1,0,0,0
3,2657,2,65747,0.0,16.0,0,0,0,0,1,1,0,1,0
2,796,2,19464,7.0,7.0,0,0,0,1,0,0,0,0,0
3,1523,1,54025,3.0,12.0,0,0,0,1,0,1,0,1,0
3,2478,3,34872,8.0,14.0,1,0,0,1,0,1,0,0,1
1,1048,1,69997,3.0,1.0,0,0,0,1,0,1,0,0,0
3,728,3,5667,9.0,17.0,0,1,0,0,0,0,1,0,1
3,1882,1,21325,0.0,17.0,1,0,0,0,1,1,0,0,0
2,1351,2,71982,3.0,17.0,0,0,0,0,1,1,0,0,1
2,2405,3,20890,1.0,2.0,0,0,1,0,0,0,0,1,0
4,2416,2,31483,7.0,13.0,1,0,0,0,1,0,0,1,0
1,2278,2,43085,6.0,15.0,0,0,0,0,1,0,1,0,1
3,1596,2,46000,3.0,9.0,0,0,0,0,0,0,0,1,0
3,2172,2,18025,2.0,3.0,1,0,0,0,0,0,0,0,1
4,561,2,34940,1.0,1.0,0,0,1,0,0,0,0,0,1
3,2151,1,29701,0.0,13.0,0,0,0,1,0,0,1,0,0
1,1175,3,46795,2.0,15.0,0,0,1,0,0,0,1,0,1
4,2227,1,18115,8.0,14.0,0,0,1,0,0,1,0,0,0
1,2721,1,44038,1.0,7.0,0,1,0,0,0,1,0,0,1
4,1451,1,61433,0.0,18.0,1,0,0,0,1,0,0,0,0
4,2773,2,51999,5.0,8.0,0,1,0,0,0,1,0,0,0
2,1339,1,79564,1.0,1.0,0,0,0,0,1,1,0,1,0
1,939,3,46484,6.0,11.0,0,0,1,0,0,0,1,0,0
3,2935,1,12688,7.0,2.0,1,0,0,0,1,0,1,0,0
3,1221,2,28255,7.0,6.0,1,0,0,1,0,1,0,0,1
1,1861,3,51617,8.0,7.0,1,0,0,1,0,1,0,0,0
3,1488,3,47108,1.0,9.0,0,0,1,0,0,1,0,1,0
3,755,3,46259,6.0,4.0,0,0,0,0,0,0,0,0,1
1,634,3,75569,8.0,4.0,0,0,0,1,0,0,1,0,0
4,2674,1,71057,3.0,14.0,0,0,1,0,0,1,0,0,1
1,1948,2,31293,7.0,7.0,0,1,0,0,0,1,0,0,1
4,2496,3,35607,9.0,13.0,1,0,0,0,0,0,0,0,1
3,517,3,17793,5.0,8.0,0,0,0,1,0,0,1,0,1
3,2501,2,41069,6.0,5.0,0,0,1,0,0,0,0,0,1
3,2073,1,32213,3.0,14.0,1,0,1,0,0,0,0,0,0
2,1467,3,23663,1.0,4.0,1,1,0,0,0,1,0,0,1
4,2500,1,47582,4.0,18.0,1,1,0,0,0,0,0,0,1
2,957,1,69694,6.0,15.0,1,0,0,0,0,0,0,1,0
2,2215,1,39449,4.0,6.0,1,0,0,1,0,1,0,1,0
1,2405,1,18116,3.0,8.0,0,0,1,0,0,0,1,0,1
2,797,3,8706,4.0,16.0,0,0,0,0,0,1,0,0,0
1,1074,3,21147,5.0,16.0,0,0,0,0,0,0,1,1,0
1,786,1,25543,2.0,17.0,0,1,0,0,0,0,0,1,0
2,2558,1,13895,8.0,3.0,0,0,1,0,0,0,0,0,1
4,2464,2,67058,3.0,7.0,1,0,0,0,1,1,0,0,0
4,1283,2,27412,1.0,12.0,0,1,0,0,0,1,0,0,0
4,940,2,38014,2.0,16.0,0,0,1,0,0,1,0,1,0
4,570,3,18251,5.0,17.0,1,0,0,0,0,0,0,1,0
4,2856,2,10109,3.0,15.0,1,0,0,0,0,0,0,1,0
2,1139,3,29632,0.0,2.0,0,0,0,1,0,0,1,1,0
2,1801,3,17151,7.0,2.0,0,0,0,0,1,1,0,1,0
3,2677,3,51165,2.0,9.0,1,1,0,0,0,0,0,0,1
4,518,3,60276,8.0,13.0,0,0,0,1,0,0,1,0,1
2,2912,2,11325,5.0,15.0,1,0,0,1,0,1,0,0,1
3,2551,1,6912,2.0,15.0,0,0,0,0,1,1,0,1,0
4,2395,1,41989,1.0,7.0,1,1,0,0,0,0,1,0,1
1,2105,1,12374,9.0,11.0,1,1,0,0,0,0,1,1,0
3,2122,2,38034,7.0,6.0,1,0,0,0,0,0,1,0,0
2,2622,1,51678,7.0,2.0,0,1,0,0,0,0,0,0,0
1,2097,2,55683,2.0,16.0,1,0,0,1,0,1,0,0,1
1,1844,2,15198,6.0,10.0,1,0,0,0,0,1,0,0,0
1,2159,2,75100,0.0,7.0,0,1,0,0,0,0,1,0,0
3,1924,1,41996,5.0,8.0,0,0,0,0,1,0,0,0,0
2,1064,1,65794,6.0,4.0,0,0,0,1,0,0,1,0,1
1,432,1,12155,2.0,19.0,1,0,1,0,0,0,0,0,0
4,2502,3,52952,3.0,9.0,1,0,0,0,1,1,0,0,1
1,2966,2,63944,1.0,16.0,1,0,0,0,1,1,0,1,0
1,2459,3,71246,0.0,4.0,0,1,0,0,0,0,0,1,0
3,1951,2,16388,1.0,8.0,0,0,0,0,0,1,0,0,1
3,1119,1,79178,3.0,16.0,1,0,0,0,0,1,0,0,1
2,2820,2,31457,4.0,11.0,0,0,0,1,0,0,1,0,0
4,883,2,23127,3.0,19.0,0,1,0,0,0,0,0,1,0
3,1372,3,39091,6.0,19.0,1,0,0,0,0,1,0,0,0
1,706,2,16752,1.0,19.0,1,0,1,0,0,1,0,1,0
2,856,1,56832,2.0,8.0,0,1,0,0,0,0,0,0,0
1,2607,2,9237,3.0,19.0,1,1,0,0,0,1,0,0,0
1,730,2,8051,9.0,16.0,0,0,0,0,0,0,0,1,0
3,624,2,69346,4.0,9.0,0,0,0,0,1,0,0,0,0
2,1879,3,48311,7.0,11.0,1,1,0,0,0,0,1,1,0
4,1482,2,24088,6.0,15.0,1,0,0,0,1,0,0,0,1
4,1043,2,10675,7.0,17.0,0,0,0,1,0,0,1,0,0
3,1015,3,44555,5.0,15.0,0,0,0,1,0,1,0,1,0
3,594,3,7640,7.0,7.0,1,0,0,0,0,0,0,1,0
2,888,3,68328,1.0,13.0,0,0,0,1,0,0,1,0,0
4,2604,3,17317,6.0,6.0,0,0,0,0,0,0,0,1,0
4,1649,1,49408,4.0,1.0,0,0,0,0,0,1,0,0,0
4,2859,1,38462,1.0,15.0,0,0,0,0,1,0,1,0,0
1,1502,2,62683,6.0,10.0,0,0,0,0,1,0,1,0,1
4,1547,1,20201,2.0,5.0,1,0,0,1,0,0,1,0,1
1,2918,2,39536,7.0,13.0,0,0,0,0,1,1,0,0,1
2,1641,1,29667,7.0,2.0,0,1,0,0,0,0,1,0,0
1,915,3,70707,8.0,17.0,1,0,1,0,0,1,0,0,0
2,2025,3,40517,1.0,13.0,1,1,0,0,0,1,0,1,0
4,1527,1,40870,0.0,12.0,1,1,0,0,0,0,0,0,1
4,792,1,42982,3.0,5.0,0,0,0,0,0,1,0,0,1
2,1030,2,63332,7.0,15.0,0,0,1,0,0,0,1,1,0
3,2247,2,37844,2.0,6.0,1,0,0,0,0,0,1,0,1
2,1379,2,9237,2.0,18.0,1,0,0,0,1,1,0,0,1
3,833,3,35465,7.0,1.0,1,0,0,0,1,1,0,0,1
1,2987,3,11027,8.0,7.0,1,0,1,0,0,0,0,1,0
1,677,3,15367,9.0,12.0,1,0,0,1,0,0,0,0,1
1,632,3,32483,3.0,19.0,0,0,0,0,1,0,1,0,0
4,1952,2,60007,5.0,9.0,1,1,0,0,0,1,0,0,1
1,1994,3,68268,3.0,10.0,0,0,1,0,0,0,1,0,0
3,1513,3,76810,4.0,13.0,0,0,1,0,0,1,0,0,1
1,2809,3,67924,8.0,2.0,1,0,0,0,1,0,1,0,0
2,425,3,57892,1.0,1.0,1,0,0,0,1,0,1,0,1
2,1817,1,68034,7.0,12.0,1,0,0,0,0,0,1,0,0
4,2954,2,39395,9.0,2.0,1,0,0,0,0,1,0,0,0
2,2714,2,31543,8.0,2.0,1,1,0,0,0,0,0,0,1
3,860,3,6074,6.0,14.0,0,0,1,0,0,0,0,1,0
1,2903,1,18990,6.0,11.0,1,0,0,1,0,1,0,0,1
4,1491,2,50793,0.0,4.0,1,0,0,1,0,0,0,1,0
1,1406,2,43071,6.0,16.0,0,0,1,0,0,0,1,1,0
1,2394,3,24546,0.0,13.0,1,1,0,0,0,1,0,1,0
3,890,3,51515,0.0,11.0,1,0,0,0,0,1,0,1,0
2,1472,2,50875,5.0,3.0,1,0,0,0,0,0,0,1,0
2,615,2,22286,4.0,9.0,0,0,0,0,0,0,0,1,0
1,2123,1,58219,9.0,12.0,1,0,0,1,0,0,1,0,1
4,1992,2,14695,9.0,19.0,1,0,0,1,0,1,0,0,0
2,558,2,42844,4.0,5.0,1,1,0,0,0,0,0,0,0
4,2936,3,16054,8.0,17.0,1,0,0,1,0,1,0,0,1
2,1085,2,66822,9.0,1.0,0,0,0,0,1,0,1,0,1
4,2176,3,7897,5.0,16.0,1,0,0,1,0,0,1,0,1
3,2452,2,14537,9.0,15.0,0,0,0,0,0,0,1,1,0
4,2243,2,26946,6.0,17.0,1,1,0,0,0,1,0,1,0
3,2808,2,62325,9.0,13.0,1,0,1,0,0,1,0,0,0
3,2906,1,13681,0.0,8.0,1,0,1,0,0,1,0,0,1
4,2695,3,78387,4.0,6.0,0,1,0,0,0,1,0,0,0
3,1989,1,52038,6.0,14.0,1,0,0,0,1,1,0,0,0
1,2096,2,59833,5.0,11.0,1,0,1,0,0,0,1,1,0
3,2869,1,53123,5.0,11.0,0,0,0,0,0,0,1,1,0
2,2346,3,35117,5.0,2.0,1,0,1,0,0,0,1,0,0
4,2462,2,76131,4.0,3.0,1,0,1,0,0,0,0,1,0
1,1545,1,28774,6.0,4.0,1,0,0,0,0,0,1,1,0
4,2724,1,48691,0.0,6.0,1,0,0,1,0,1,0,1,0
2,1981,3,58143,6.0,15.0,0,0,0,0,1,0,1,0,0
2,2900,1,76998,7.0,3.0,0,0,0,0,0,0,0,0,0
2,2893,3,18307,5.0,2.0,0,0,0,0,0,0,0,0,0
3,2657,2,44136,8.0,18.0,1,1,0,0,0,0,0,0,1
3,2749,2,32531,2.0,12.0,1,0,0,0,1,0,0,0,0
4,2332,1,47174,9.0,12.0,1,0,0,1,0,0,0,1,0
4,2157,2,41710,1.0,9.0,1,0,0,0,0,1,0,0,0
1,2450,2,39568,0.0,16.0,0,0,0,1,0,0,1,0,1
1,1389,1,19414,0.0,8.0,1,0,0,0,0,1,0,1,0
4,1941,2,67294,7.0,2.0,0,0,0,0,0,1,0,0,0
3,1516,1,36723,7.0,12.0,1,1,0,0,0,0,0,0,0
2,2967,3,15261,4.0,1.0,1,0,1,0,0,0,1,1,0
4,892,3,66987,6.0,13.0,0,0,0,0,1,0,1,0,0
1,1019,3,72913,5.0,17.0,1,1,0,0,0,0,1,0,1
3,2778,1,56255,0.0,6.0,0,0,0,1,0,0,0,1,0
4,2780,1,6271,9.0,7.0,0,0,0,0,0,1,0,0,0
4,2497,2,50316,9.0,1.0,1,0,0,0,0,0,1,1,0
3,1946,2,33419,8.0,15.0,0,0,0,0,1,1,0,0,0
4,1262,2,38202,3.0,18.0,0,1,0,0,0,0,1,0,0
3,2091,2,24982,9.0,13.0,1,1,0,0,0,0,1,1,0
2,2005,2,74307,7.0,2.0,0,0,0,1,0,0,1,0,0
3,2719,1,46340,2.0,15.0,0,1,0,0,0,0,1,0,0
3,979,1,41892,8.0,18.0,1,1,0,0,0,0,0,1,0
3,2290,3,10602,5.0,12.0,0,0,1,0,0,0,0,0,0
4,1675,3,10167,3.0,6.0,1,0,0,0,1,1,0,0,0
4,2255,3,76022,9.0,9.0,0,1,0,0,0,0,0,1,0
3,2893,3,58201,8.0,4.0,1,0,0,1,0,0,1,0,1
4,1755,1,54698,0.0,2.0,1,0,0,0,0,1,0,0,1
1,1562,1,70249,7.0,14.0,1,1,0,0,0,1,0,0,1
1,756,1,68753,9.0,8.0,1,1,0,0,0,1,0,0,1
4,2024,2,75360,1.0,16.0,1,0,0,0,0,0,1,0,1
4,2721,2,69687,3.0,1.0,0,0,1,0,0,0,1,0,1
3,2406,3,40883,6.0,14.0,1,0,0,0,1,1,0,1,0
2,2758,2,5218,7.0,3.0,1,0,1,0,0,0,0,1,0
4,1269,1,37893,4.0,6.0,0,0,0,1,0,0,1,1,0
1,1285,3,18169,5.0,8.0,1,1,0,0,0,0,1,0,0
3,2401,3,51458,5.0,6.0,0,0,1,0,0,0,0,0,1
4,2601,2,50374,3.0,7.0,0,0,0,0,1,1,0,0,1
1,1813,3,63672,7.0,19.0,1,0,0,1,0,0,0,1,0
1,1683,2,79951,6.0,3.0,0,0,1,0,0,0,1,0,0
2,1019,2,9180,7.0,1.0,0,1,0,0,0,1,0,0,0
3,1282,3,42928,0.0,14.0,0,0,0,0,1,1,0,1,0
3,1196,2,14766,5.0,10.0,1,1,0,0,0,0,0,0,1
2,2572,2,35058,8.0,14.0,0,1,0,0,0,0,1,0,0
2,1696,2,6942,3.0,6.0,1,0,0,1,0,0,1,0,1
3,1018,2,16532,4.0,1.0,1,0,0,0,1,1,0,0,0
3,2234,3,48374,5.0,9.0,0,0,0,0,0,0,1,0,1
4,644,1,71790,2.0,11.0,1,1,0,0,0,1,0,0,0
4,2897,1,38755,2.0,14.0,0,0,0,0,1,1,0,0,1
2,1329,2,64192,1.0,4.0,0,1,0,0,0,1,0,0,1
4,1670,2,52592,9.0,19.0,1,0,1,0,0,0,1,0,1
1,919,2,18118,1.0,17.0,1,0,1,0,0,0,0,1,0
4,2809,1,69610,2.0,10.0,1,0,0,0,1,1,0,0,1
4,407,2,38128,5.0,9.0,0,0,0,1,0,0,0,0,1
1,2925,3,13104,4.0,15.0,0,0,0,0,0,0,0,0,0
2,2419,3,13549,2.0,16.0,0,0,1,0,0,0,0,0,0
1,894,3,62240,4.0,12.0,1,0,0,1,0,0,0,1,0
4,2029,1,37831,6.0,5.0,0,0,0,0,0,0,0,0,0
2,1462,2,64978,6.0,9.0,0,0,1,0,0,1,0,0,1
4,586,2,74474,4.0,18.0,0,0,0,0,0,0,1,1,0
